"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + topicInvolvement + articleInterest + articleRecommend + articleSurprise",0,0,-245.831121179319,16.5927469971533,11.2736702204206,1.87359417024218,491.662242358637,33.1854939943066
"Model 0: treatment",-5.67489989492714,4.26359418083844,-251.506021074246,15.9115154672907,7.30960311615689,1.65616044828634,503.012042148491,31.8230309345815
