"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + article + topicInolvement + preAttitude",0,0,-732.760441812463,27.810431511673,248.87408867792,11.8278780823398,1465.52088362493,55.6208630233459
"Model 0: treatment + article",-5.27604509676114,3.51185941295362,-738.036486909225,27.5382110753848,255.092655004155,12.2668622331884,1476.07297381845,55.0764221507697
