"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + topicInvolvement + articleInterest + articleRecommend + articleSurprise",0,0,-271.556565312681,21.0259594781712,12.6100741888077,2.39970992476084,543.113130625361,42.0519189563425
"Model 0: treatment",-1.85757002893435,3.05366307204215,-273.414135341616,20.5818800232976,9.51630141946886,2.18255151961365,546.828270683231,41.1637600465953
