"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 0: treatment + article",0,0,971.242497929053,24.2749106209227,93.7038637201333,4.32665206667908,-1942.48499585811,48.5498212418454
"Model 1: treatment + article + topicInolvement + preAttitude",-0.269666412943137,2.05709088637402,970.972831516109,24.202840513742,92.2192172434832,4.30162615244545,-1941.94566303222,48.4056810274839
