"","contrast",".value",".lower",".upper",".width",".point",".interval","study"
"1","Categorize - Control",0.0101798854126722,-0.00839772113695909,0.0289885284415413,0.95,"median","hdi","Study 1"
"2","Draw - Categorize",-0.0218523568924326,-0.0401286819587247,-0.00262553939977929,0.95,"median","hdi","Study 1"
"3","Draw - Control",-0.0114630836753925,-0.0287373948485259,0.00517583845789522,0.95,"median","hdi","Study 1"
