"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + topicInvolvement + articleInterest + articleRecommend + articleSurprise",0,0,-253.514763632131,14.9008832827452,10.0166322479981,1.3566032151254,507.029527264263,29.8017665654905
"Model 0: treatment",-2.86638079820836,3.53284855004638,-256.381144430339,14.7628854636393,6.46045180361996,1.51801934685959,512.762288860679,29.5257709272787
