"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + article + topicInolvement + preAttitude",0,0,-1048.99527210423,22.4767730305675,238.439863818765,8.49250035110177,2097.99054420845,44.9535460611349
"Model 0: treatment + article",-0.934644465218181,2.11022112651976,-1049.92991656944,22.2801139672192,239.382865094478,8.48483009255127,2099.85983313889,44.5602279344384
