"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + article + topicInolvement + preAttitude",0,0,1164.50577649085,34.3774817155316,139.690775062164,6.36652143924006,-2329.01155298171,68.7549634310631
"Model 0: treatment + article",-2.92492131602253,3.05657781788801,1161.58085517483,34.2845556884518,143.877452812792,6.5311566451069,-2323.16171034966,68.5691113769036
