"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + topicInvolvement + articleInterest + articleRecommend + articleSurprise",0,0,-216.82389719092,16.722736952847,9.82490589369434,1.49532545742126,433.64779438184,33.4454739056941
"Model 0: treatment",-3.79318989136909,3.57594773013249,-220.617087082289,16.5129711262676,6.39048330286612,1.53314572842038,441.234174164578,33.0259422525351
