"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + article + topicInolvement + preAttitude",0,0,-806.107122744454,23.2842023646903,237.747297772344,9.40171000676749,1612.21424548891,46.5684047293806
"Model 0: treatment + article",-7.59118985975462,4.51293978590566,-813.698312604208,23.0195546527922,248.118752731693,9.84263688962427,1627.39662520842,46.0391093055844
