"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 1: treatment + article + topicInolvement + preAttitude",0,0,-812.726906281084,25.8261722460951,240.279768457238,10.104644137517,1625.45381256217,51.6523444921901
"Model 0: treatment + article",-8.54845791381116,4.86019497727875,-821.275364194895,25.6093538282658,251.706779499249,10.6975857186922,1642.55072838979,51.2187076565316
